"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNORSSHMMMLCDEGJBF00714103",1,3,9
"TQRMNORQUHLMLOCDEFPCH00715601",1,1,4
"TQRMNOQWXHLMNOCDEIJAH00719609",2,1,8
"TQSMNORXSHKLMUCDEIJAH00794113",1,1,8
"TQSMNORXSHKLMUCDEIJAH00794113",1,2,12
"TQSMNOQVPHMMMTCDEIJAH00791558",1,1,11
"TQRMNORUVHJMKSCDEGNFJ00794130",1,2,2
"TQRMNOSUXHMNLMCDEGNFJ00712434",1,1,4
"TQRMNORPSHJNLLCDEGNFJ00794132",1,1,4
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,1,4
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,2,2
"TQRMNOPUXHMLKNCDEHJGH00712384",1,2,4
"TQRMNOPRWHMOKOCDEHNHB00712245",1,1,6
"TQRMNOPRWHMOKOCDEHNHB00712245",1,2,4
"TQRMNOPYRHMOKRCDEHNHB00712336",1,1,5
"TQRMNOPYUHMOKRCDEHNHB00712337",1,1,1
"TQRMNOPYUHMOKRCDEHNHB00712337",1,2,3
"TQRMNOPWVHLLKQCDEHNHB00717584",1,1,4
"TQRMNOPWVHLLKQCDEHNHB00717584",1,2,6
"TQRMNOUXPHKLKNCDEGLDF00789418",1,4,11
"TQRMNORVPHJMKNCDEGLDF00794176",1,1,0
"TQSMNOPUWHMOKOCDEGLDF00716393",1,1,1
"TQSMNOPUWHMOKOCDEGLDF00716393",1,2,7
"TQRMNOQYTHMOKOCDEGLDF00794177",1,1,3
"TQRMNOQSVHLNLNCDEIOAH00720007",1,2,9
"TQRMNORXRHLNLNCDEIOAH00720000",1,1,3
"TQRMNOPTRHMMLNCDEIOAH00713620",1,1,6
"TQRMNOPTSHMMLNCDEIOAH00713621",1,1,11
"TQRMNOTTWHJMLNCDEIOAH00794178",1,1,8
"TQRMNOTUPHJMLNCDEIOAH00794179",1,1,8
"TQRMNOTUPHJMLNCDEIOAH00794179",1,2,5
"TQRMNORXXHJNKNCDEGJBF00794180",1,3,3
"TQRMNOQQSHLOKNCDEGJBF00716115",1,1,6
"TQRMNORWQHLOKNCDEGJBF00716250",1,1,5
"TQRMNORWQHLOKNCDEGJBF00716250",1,2,9
"TQRMNOPSPHKMLNCDEFPCH00794181",1,1,4
"TQRMNORPPHKOLOCDEFPCH00794182",1,1,4
"TQRMNOSYPHMNLOCDEFPCH00715604",1,1,4
"TQRMNOSYPHMNLOCDEFPCH00715604",1,2,4
"TQRMNOSYPHMNLOCDEFPCH00715604",1,3,5
"TQRMNOPTXHKOLQCDEFPCH00788404",1,1,6
"TQRMNOPTXHKOLQCDEFPCH00788404",1,2,2
"TQRMNOSPRHMOLQCDEFPCH00713726",1,2,3
"TQRMNOSPUHMOLQCDEFPCH00713727",1,1,5
"TQRMNORUPHLOLQCDEFPCH00715606",1,1,3
"TQRMNORUPHLOLQCDEFPCH00715606",1,2,8
"TQRMNOPURHJOLQCDEFPCH00794183",1,1,2
"TQRMNOPURHJOLQCDEFPCH00794183",1,2,2
"TQRMNOPQWHLOKMCDEOHCH00781396",1,1,2
"TQRMNOPQWHLOKMCDEOHCH00781396",1,2,2
"TQRMNOPQTHKLKMCDEOHCH00792879",1,1,4
"TQRMNOPQTHKLKMCDEOHCH00792879",1,2,2
"TQRMNOSYYHKKKNCDEOHCH00792877",1,1,4
"TQRMNOUQRHKLRNCDEIJAH00794184",1,1,11
"TQRMNOQQXHLKSPCDEIJAH00780906",1,1,8
"TQRMNORVUHLOQUCDEIJAH00719027",1,1,8
"TQRMNORTQHJMRMCDEIJAH00794185",1,1,11
"TQSMNOSUVHMOSQCDEIJAH00794187",1,1,12
"TQRMNOPQQHKLRQCDEIJAH00792311",1,1,8
"TQRMNOPQQHKLRQCDEIJAH00792311",1,2,8
"TQRMNORPPHMMSUCDEIJAH00712616",1,1,7
"TQRMNORPPHMMSUCDEIJAH00712616",1,2,11
"TQRMNOPQQHLOTOCDEIJAH00718979",1,1,6
"TQRMNOPQQHLOTOCDEIJAH00718979",1,2,4
"TQRMNOSUVHKMRLCDEIJAH00791820",1,1,7
"TQRMNOSUVHKMRLCDEIJAH00791820",1,3,7
"TQRMNOSUVHKMRLCDEIJAH00791820",1,4,13
"TQRMNOSSPHJNLTCDEIKAH00794190",1,1,8
"TQRMNOSSPHJNLTCDEIKAH00794190",1,2,14
"TQRMNOSSPHJNLTCDEIKAH00794190",1,4,10
"TQRMNOQQSHKKMLCDEIKAH00792409",1,1,10
"TQRMNOQQSHKKMLCDEIKAH00792409",1,2,12
"TQRMNOQUXHLOKMCDEIOAH00720030",1,1,10
"TQRMNOSPYHKMKMCDEIOAH00792826",1,2,9
"TQRMNORPYHKLKOCDEIOAH00792737",1,1,7
"TQRMNOQUQHJLKMCDEIOAH00794193",1,1,6
"TQRMNOTTWHJKKOCDEIOAH00794194",1,1,4
"TQRMNOTTWHJKKOCDEIOAH00794194",1,2,10
"TQRMNOSPTHJKKPCDEIOAH00794195",1,1,13
"TQRMNOSPTHJKKPCDEIOAH00794195",1,3,10
"TQRMNOSYTHKLKQCDEIOAH00792839",1,1,5
"TQRMNOPRYHLMKQCDEIOAH00720036",1,2,19
"TQRMNORPXHMOLPCDEGOIH00789753",1,1,1
"TQRMNORPXHMOLPCDEGOIH00789753",1,2,3
"TQRMNOTUVHMLLQCDEGOIH00711887",1,2,2
"TQRMNOTUVHMLLQCDEGOIH00711887",1,3,2
"TQRMNOTUVHMLLQCDEGOIH00711887",1,4,2
"TQRMNOQWPHLLLQCDEGOIH00794196",1,1,1
"TQRMNOQQXHJOLQCDEGOIH00794197",1,1,3
"TQRMNORQVHJLONCDEIIAD00794198",1,1,11
"TQRMNORUUHMMLLCDEIJAH00712148",1,1,10
"TQRMNORTSHJKMSCDEIIAD00794199",1,3,10
"TQRMNOTUSHLOKUCDEHMHF00717517",1,1,4
"TQRMNOTUSHLOKUCDEHMHF00717517",1,2,4
"TQRMNOQVUHJKKUCDEHMHF00794200",1,1,2
"TQRMNOQVUHJKKUCDEHMHF00794200",1,2,7
"TQRMNOQTXHMKRLCDEIJAH00711041",1,2,14
"TQRMNOTPSHJNSOCDEIJAH00794201",1,1,9
"TQRMNOTPSHJNSOCDEIJAH00794201",1,2,2
"TQRMNOTPSHJNSOCDEIJAH00794201",1,3,15
"TQSMNOQVWHKOKRCDEGKDB00789329",1,1,7
"TQRMNORUXHKNKOCDEGKDB00789279",1,2,11
"TQRMNORUXHKNKOCDEGKDB00789279",1,3,9
"TQRMNORTXHKNKNCDEFMDB00787984",2,1,3
"TQRMNORXQHKOKOCDEFMDB00787953",1,1,6
"TQRMNOSRXHLOSNCDEIJAH00719399",1,1,6
"TQRMNOSRXHLOSNCDEIJAH00719399",1,2,6
"TQRMNOSRQHMOLOCDEFOCD00711723",1,2,8
"TQRMNORSVHJOLPCDEFOCD00794202",1,1,2
"TQRMNORSVHJOLPCDEFOCD00794202",1,2,3
"TQRMNOSTXHLKQSCDEIJAH00719629",2,4,13
"TQRMNOQXTHLOKMCDEFIAH00714488",1,1,7
"TQRMNOQXTHLOKMCDEFIAH00714488",1,3,8
"TQRMNOQWVHJMKQCDEFIAH00794208",1,1,4
"TQRMNOQWVHJMKQCDEFIAH00794208",1,2,5
"TQRMNORXQHKOKOCDEFMDB00787953",1,2,5
"TQSMNOSQUHKOKMCDEGKDB00789196",1,1,4
"TQSMNOSQUHKOKMCDEGKDB00789196",1,6,6
"TQRMNOSRRHKOKMCDEGKDB00789217",1,2,8
"TQRMNOSSRHKOKOCDEFOCD00788337",1,1,5
"TQRMNOPQYHLMKSCDEGLDF00794203",1,2,12
"TQRMNORVRHKKKNCDEOHCH00792899",2,1,1
"TQRMNOPRYHMMKNCDEOHCH00712751",1,1,3
"TQRMNOPRVHMMKOCDEOHCH00712752",1,1,8
"TQRMNORYYHJMKNCDEOHCH00794204",1,1,3
"TQRMNORYYHJMKNCDEOHCH00794204",1,2,6
"TQRMNOTVXHMOKQCDEOHCH00713420",1,2,7
"TQRMNOXQRHKOKMCDEFOCD00788346",1,3,3
"TQRMNOXQRHKOKMCDEFOCD00788346",1,4,4
"TQRMNOPPXHKOKMCDEFPCH00788449",1,2,4
"TQRMNOPPXHKOKMCDEFPCH00788449",1,3,9
"TQRMNOPRTHLNKMCDEGKDB00716292",1,2,10
"TQRMNOQQVHJOKOCDEGKDB00794211",1,1,8
"TQSMNOSVTHLLKOCDEGLDF00716411",1,1,4
"TQRMNOQXQHJMKOCDEOHCH00794205",1,1,0
"TQRMNOQXQHJMKOCDEOHCH00794205",1,2,4
"TQRMNOPPXHMNKSCDEOHCH00713421",1,1,2
"TQRMNOPPXHMNKSCDEOHCH00713421",1,2,4
