"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNORSSHMMMLCDEGJBF00714103",1,3,13
"TQRMNORQUHLMLOCDEFPCH00715601",1,1,4
"TQRMNOQWXHLMNOCDEIJAH00719609",2,1,8
"TQSMNORXSHKLMUCDEIJAH00794113",1,1,12
"TQSMNORXSHKLMUCDEIJAH00794113",1,2,10
"TQSMNOQVPHMMMTCDEIJAH00791558",1,1,11
"TQRMNORUVHJMKSCDEGNFJ00794130",1,2,6
"TQRMNOSUXHMNLMCDEGNFJ00712434",1,1,4
"TQRMNORPSHJNLLCDEGNFJ00794132",1,1,4
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,1,3
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,2,5
"TQRMNOPUXHMLKNCDEHJGH00712384",1,2,5
"TQRMNOPRWHMOKOCDEHNHB00712245",1,1,8
"TQRMNOPRWHMOKOCDEHNHB00712245",1,2,2
"TQRMNOPYRHMOKRCDEHNHB00712336",1,1,3
"TQRMNOPYUHMOKRCDEHNHB00712337",1,1,3
"TQRMNOPYUHMOKRCDEHNHB00712337",1,2,1
"TQRMNOPWVHLLKQCDEHNHB00717584",1,1,4
"TQRMNOPWVHLLKQCDEHNHB00717584",1,2,4
"TQRMNOUXPHKLKNCDEGLDF00789418",1,4,7
"TQRMNORVPHJMKNCDEGLDF00794176",1,1,8
"TQSMNOPUWHMOKOCDEGLDF00716393",1,1,2
"TQSMNOPUWHMOKOCDEGLDF00716393",1,2,6
"TQRMNOQYTHMOKOCDEGLDF00794177",1,1,6
"TQRMNOQSVHLNLNCDEIOAH00720007",1,2,7
"TQRMNORXRHLNLNCDEIOAH00720000",1,1,9
"TQRMNOPTRHMMLNCDEIOAH00713620",1,1,11
"TQRMNOPTSHMMLNCDEIOAH00713621",1,1,10
"TQRMNOTTWHJMLNCDEIOAH00794178",1,1,10
"TQRMNOTUPHJMLNCDEIOAH00794179",1,1,4
"TQRMNOTUPHJMLNCDEIOAH00794179",1,2,4
"TQRMNORXXHJNKNCDEGJBF00794180",1,3,14
"TQRMNOQQSHLOKNCDEGJBF00716115",1,1,7
"TQRMNORWQHLOKNCDEGJBF00716250",1,1,9
"TQRMNORWQHLOKNCDEGJBF00716250",1,2,14
"TQRMNOPSPHKMLNCDEFPCH00794181",1,1,6
"TQRMNORPPHKOLOCDEFPCH00794182",1,1,4
"TQRMNOSYPHMNLOCDEFPCH00715604",1,1,5
"TQRMNOSYPHMNLOCDEFPCH00715604",1,2,6
"TQRMNOSYPHMNLOCDEFPCH00715604",1,3,10
"TQRMNOPTXHKOLQCDEFPCH00788404",1,1,2
"TQRMNOPTXHKOLQCDEFPCH00788404",1,2,3
"TQRMNOSPRHMOLQCDEFPCH00713726",1,2,5
"TQRMNOSPUHMOLQCDEFPCH00713727",1,1,1
"TQRMNORUPHLOLQCDEFPCH00715606",1,1,2
"TQRMNORUPHLOLQCDEFPCH00715606",1,2,3
"TQRMNOPURHJOLQCDEFPCH00794183",1,1,1
"TQRMNOPURHJOLQCDEFPCH00794183",1,2,1
"TQRMNOPQWHLOKMCDEOHCH00781396",1,1,6
"TQRMNOPQWHLOKMCDEOHCH00781396",1,2,2
"TQRMNOPQTHKLKMCDEOHCH00792879",1,1,4
"TQRMNOPQTHKLKMCDEOHCH00792879",1,2,2
"TQRMNOSYYHKKKNCDEOHCH00792877",1,1,7
"TQRMNOUQRHKLRNCDEIJAH00794184",1,1,7
"TQRMNOQQXHLKSPCDEIJAH00780906",1,1,9
"TQRMNORVUHLOQUCDEIJAH00719027",1,1,10
"TQRMNORTQHJMRMCDEIJAH00794185",1,1,11
"TQSMNOSUVHMOSQCDEIJAH00794187",1,1,10
"TQRMNOPQQHKLRQCDEIJAH00792311",1,1,11
"TQRMNOPQQHKLRQCDEIJAH00792311",1,2,15
"TQRMNORPPHMMSUCDEIJAH00712616",1,1,8
"TQRMNORPPHMMSUCDEIJAH00712616",1,2,9
"TQRMNOPQQHLOTOCDEIJAH00718979",1,1,9
"TQRMNOPQQHLOTOCDEIJAH00718979",1,2,10
"TQRMNOSUVHKMRLCDEIJAH00791820",1,1,9
"TQRMNOSUVHKMRLCDEIJAH00791820",1,3,9
"TQRMNOSUVHKMRLCDEIJAH00791820",1,4,10
"TQRMNOSSPHJNLTCDEIKAH00794190",1,1,9
"TQRMNOSSPHJNLTCDEIKAH00794190",1,2,10
"TQRMNOSSPHJNLTCDEIKAH00794190",1,4,12
"TQRMNOQQSHKKMLCDEIKAH00792409",1,1,8
"TQRMNOQQSHKKMLCDEIKAH00792409",1,2,13
"TQRMNOQUXHLOKMCDEIOAH00720030",1,1,6
"TQRMNOSPYHKMKMCDEIOAH00792826",1,2,13
"TQRMNORPYHKLKOCDEIOAH00792737",1,1,4
"TQRMNOQUQHJLKMCDEIOAH00794193",1,1,5
"TQRMNOTTWHJKKOCDEIOAH00794194",1,1,7
"TQRMNOTTWHJKKOCDEIOAH00794194",1,2,6
"TQRMNOSPTHJKKPCDEIOAH00794195",1,1,14
"TQRMNOSPTHJKKPCDEIOAH00794195",1,3,11
"TQRMNOSYTHKLKQCDEIOAH00792839",1,1,7
"TQRMNOPRYHLMKQCDEIOAH00720036",1,2,11
"TQRMNORPXHMOLPCDEGOIH00789753",1,1,2
"TQRMNORPXHMOLPCDEGOIH00789753",1,2,2
"TQRMNOTUVHMLLQCDEGOIH00711887",1,2,0
"TQRMNOTUVHMLLQCDEGOIH00711887",1,3,0
"TQRMNOTUVHMLLQCDEGOIH00711887",1,4,2
