"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNORSSHMMMLCDEGJBF00714103",1,3,8
"TQRMNORQUHLMLOCDEFPCH00715601",1,1,4
"TQRMNOQWXHLMNOCDEIJAH00719609",2,1,9
"TQSMNORXSHKLMUCDEIJAH00794113",1,1,11
"TQSMNORXSHKLMUCDEIJAH00794113",1,2,7
"TQSMNOQVPHMMMTCDEIJAH00791558",1,1,10
"TQRMNORUVHJMKSCDEGNFJ00794130",1,2,4
"TQRMNOSUXHMNLMCDEGNFJ00712434",1,1,3
"TQRMNORPSHJNLLCDEGNFJ00794132",1,1,2
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,1,9
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,2,5
"TQRMNOPUXHMLKNCDEHJGH00712384",1,2,3
"TQRMNOPRWHMOKOCDEHNHB00712245",1,1,6
"TQRMNOPRWHMOKOCDEHNHB00712245",1,2,4
"TQRMNOPYRHMOKRCDEHNHB00712336",1,1,5
"TQRMNOPYUHMOKRCDEHNHB00712337",1,1,4
"TQRMNOPYUHMOKRCDEHNHB00712337",1,2,1
"TQRMNOPWVHLLKQCDEHNHB00717584",1,1,7
"TQRMNOPWVHLLKQCDEHNHB00717584",1,2,4
"TQRMNOUXPHKLKNCDEGLDF00789418",1,4,9
"TQRMNORVPHJMKNCDEGLDF00794176",1,1,1
"TQSMNOPUWHMOKOCDEGLDF00716393",1,1,1
"TQSMNOPUWHMOKOCDEGLDF00716393",1,2,4
"TQRMNOQYTHMOKOCDEGLDF00794177",1,1,3
"TQRMNOQSVHLNLNCDEIOAH00720007",1,2,9
"TQRMNORXRHLNLNCDEIOAH00720000",1,1,4
"TQRMNOPTRHMMLNCDEIOAH00713620",1,1,15
"TQRMNOPTSHMMLNCDEIOAH00713621",1,1,3
"TQRMNOTTWHJMLNCDEIOAH00794178",1,1,11
"TQRMNOTUPHJMLNCDEIOAH00794179",1,1,5
"TQRMNOTUPHJMLNCDEIOAH00794179",1,2,11
"TQRMNORXXHJNKNCDEGJBF00794180",1,3,7
"TQRMNOQQSHLOKNCDEGJBF00716115",1,1,4
"TQRMNORWQHLOKNCDEGJBF00716250",1,1,7
"TQRMNORWQHLOKNCDEGJBF00716250",1,2,7
"TQRMNOPSPHKMLNCDEFPCH00794181",1,1,6
"TQRMNORPPHKOLOCDEFPCH00794182",1,1,4
"TQRMNOSYPHMNLOCDEFPCH00715604",1,1,2
"TQRMNOSYPHMNLOCDEFPCH00715604",1,2,8
"TQRMNOSYPHMNLOCDEFPCH00715604",1,3,6
"TQRMNOPTXHKOLQCDEFPCH00788404",1,1,5
"TQRMNOPTXHKOLQCDEFPCH00788404",1,2,3
"TQRMNOSPRHMOLQCDEFPCH00713726",1,2,5
"TQRMNOSPUHMOLQCDEFPCH00713727",1,1,4
"TQRMNORUPHLOLQCDEFPCH00715606",1,1,3
"TQRMNORUPHLOLQCDEFPCH00715606",1,2,4
"TQRMNOPURHJOLQCDEFPCH00794183",1,1,3
"TQRMNOPURHJOLQCDEFPCH00794183",1,2,4
"TQRMNOPQWHLOKMCDEOHCH00781396",1,1,5
"TQRMNOPQWHLOKMCDEOHCH00781396",1,2,2
"TQRMNOPQTHKLKMCDEOHCH00792879",1,1,5
"TQRMNOPQTHKLKMCDEOHCH00792879",1,2,7
"TQRMNOSYYHKKKNCDEOHCH00792877",1,1,1
"TQRMNOUQRHKLRNCDEIJAH00794184",1,1,9
"TQRMNOQQXHLKSPCDEIJAH00780906",1,1,7
"TQRMNORVUHLOQUCDEIJAH00719027",1,1,4
"TQRMNORTQHJMRMCDEIJAH00794185",1,1,10
"TQSMNOSUVHMOSQCDEIJAH00794187",1,1,9
"TQRMNOPQQHKLRQCDEIJAH00792311",1,1,16
"TQRMNOPQQHKLRQCDEIJAH00792311",1,2,11
"TQRMNORPPHMMSUCDEIJAH00712616",1,1,7
"TQRMNORPPHMMSUCDEIJAH00712616",1,2,10
"TQRMNOPQQHLOTOCDEIJAH00718979",1,1,11
