"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNORSSHMMMLCDEGJBF00714103",1,3,1
"TQRMNORQUHLMLOCDEFPCH00715601",1,1,0
"TQRMNOQWXHLMNOCDEIJAH00719609",2,1,0
"TQSMNORXSHKLMUCDEIJAH00794113",1,1,0
"TQSMNORXSHKLMUCDEIJAH00794113",1,2,1
"TQSMNOQVPHMMMTCDEIJAH00791558",1,1,0
"TQRMNORUVHJMKSCDEGNFJ00794130",1,2,0
"TQRMNOSUXHMNLMCDEGNFJ00712434",1,1,0
"TQRMNORPSHJNLLCDEGNFJ00794132",1,1,0
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,1,0
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,2,0
"TQRMNOPUXHMLKNCDEHJGH00712384",1,2,1
"TQRMNOPRWHMOKOCDEHNHB00712245",1,1,0
"TQRMNOPRWHMOKOCDEHNHB00712245",1,2,0
"TQRMNOPYRHMOKRCDEHNHB00712336",1,1,1
"TQRMNOPYUHMOKRCDEHNHB00712337",1,1,0
"TQRMNOPYUHMOKRCDEHNHB00712337",1,2,2
"TQRMNOPWVHLLKQCDEHNHB00717584",1,1,1
"TQRMNOPWVHLLKQCDEHNHB00717584",1,2,0
"TQRMNOUXPHKLKNCDEGLDF00789418",1,4,1
"TQRMNORVPHJMKNCDEGLDF00794176",1,1,1
"TQSMNOPUWHMOKOCDEGLDF00716393",1,1,0
"TQSMNOPUWHMOKOCDEGLDF00716393",1,2,0
"TQRMNOQYTHMOKOCDEGLDF00794177",1,1,0
"TQRMNOQSVHLNLNCDEIOAH00720007",1,2,1
"TQRMNORXRHLNLNCDEIOAH00720000",1,1,0
"TQRMNOPTRHMMLNCDEIOAH00713620",1,1,0
"TQRMNOPTSHMMLNCDEIOAH00713621",1,1,2
"TQRMNOTTWHJMLNCDEIOAH00794178",1,1,2
"TQRMNOTUPHJMLNCDEIOAH00794179",1,1,1
"TQRMNOTUPHJMLNCDEIOAH00794179",1,2,2
"TQRMNORXXHJNKNCDEGJBF00794180",1,3,1
"TQRMNOQQSHLOKNCDEGJBF00716115",1,1,1
"TQRMNORWQHLOKNCDEGJBF00716250",1,1,0
"TQRMNORWQHLOKNCDEGJBF00716250",1,2,2
"TQRMNOPSPHKMLNCDEFPCH00794181",1,1,0
"TQRMNORPPHKOLOCDEFPCH00794182",1,1,1
"TQRMNOSYPHMNLOCDEFPCH00715604",1,1,0
"TQRMNOSYPHMNLOCDEFPCH00715604",1,2,1
"TQRMNOSYPHMNLOCDEFPCH00715604",1,3,0
"TQRMNOPTXHKOLQCDEFPCH00788404",1,1,0
"TQRMNOPTXHKOLQCDEFPCH00788404",1,2,0
"TQRMNOSPRHMOLQCDEFPCH00713726",1,2,0
"TQRMNOSPUHMOLQCDEFPCH00713727",1,1,0
"TQRMNORUPHLOLQCDEFPCH00715606",1,1,1
"TQRMNORUPHLOLQCDEFPCH00715606",1,2,0
"TQRMNOPURHJOLQCDEFPCH00794183",1,1,0
"TQRMNOPURHJOLQCDEFPCH00794183",1,2,0
"TQRMNOPQWHLOKMCDEOHCH00781396",1,1,0
"TQRMNOPQWHLOKMCDEOHCH00781396",1,2,0
"TQRMNOPQTHKLKMCDEOHCH00792879",1,1,0
"TQRMNOPQTHKLKMCDEOHCH00792879",1,2,1
"TQRMNOSYYHKKKNCDEOHCH00792877",1,1,0
"TQRMNOUQRHKLRNCDEIJAH00794184",1,1,1
"TQRMNOQQXHLKSPCDEIJAH00780906",1,1,1
"TQRMNORVUHLOQUCDEIJAH00719027",1,1,0
"TQRMNORTQHJMRMCDEIJAH00794185",1,1,1
"TQSMNOSUVHMOSQCDEIJAH00794187",1,1,1
"TQRMNOPQQHKLRQCDEIJAH00792311",1,1,1
"TQRMNOPQQHKLRQCDEIJAH00792311",1,2,1
"TQRMNORPPHMMSUCDEIJAH00712616",1,1,0
"TQRMNORPPHMMSUCDEIJAH00712616",1,2,0
"TQRMNOPQQHLOTOCDEIJAH00718979",1,1,1
"TQRMNOPQQHLOTOCDEIJAH00718979",1,2,0
"TQRMNOSUVHKMRLCDEIJAH00791820",1,1,1
"TQRMNOSUVHKMRLCDEIJAH00791820",1,3,1
"TQRMNOSUVHKMRLCDEIJAH00791820",1,4,2
"TQRMNOSSPHJNLTCDEIKAH00794190",1,1,0
"TQRMNOSSPHJNLTCDEIKAH00794190",1,2,0
"TQRMNOSSPHJNLTCDEIKAH00794190",1,4,0
"TQRMNOQQSHKKMLCDEIKAH00792409",1,1,0
"TQRMNOQQSHKKMLCDEIKAH00792409",1,2,1
"TQRMNOQUXHLOKMCDEIOAH00720030",1,1,2
"TQRMNOSPYHKMKMCDEIOAH00792826",1,2,1
"TQRMNORPYHKLKOCDEIOAH00792737",1,1,0
"TQRMNOQUQHJLKMCDEIOAH00794193",1,1,0
"TQRMNOTTWHJKKOCDEIOAH00794194",1,1,1
"TQRMNOTTWHJKKOCDEIOAH00794194",1,2,1
"TQRMNOSPTHJKKPCDEIOAH00794195",1,1,1
"TQRMNOSPTHJKKPCDEIOAH00794195",1,3,0
"TQRMNOSYTHKLKQCDEIOAH00792839",1,1,0
"TQRMNOPRYHLMKQCDEIOAH00720036",1,2,2
"TQRMNORPXHMOLPCDEGOIH00789753",1,1,1
"TQRMNORPXHMOLPCDEGOIH00789753",1,2,0
"TQRMNOTUVHMLLQCDEGOIH00711887",1,2,1
"TQRMNOTUVHMLLQCDEGOIH00711887",1,3,0
"TQRMNOTUVHMLLQCDEGOIH00711887",1,4,0
"TQRMNOQWPHLLLQCDEGOIH00794196",1,1,0
"TQRMNOQQXHJOLQCDEGOIH00794197",1,1,0
"TQRMNORQVHJLONCDEIIAD00794198",1,1,0
"TQRMNORUUHMMLLCDEIJAH00712148",1,1,1
"TQRMNORTSHJKMSCDEIIAD00794199",1,3,0
"TQRMNOTUSHLOKUCDEHMHF00717517",1,1,0
"TQRMNOTUSHLOKUCDEHMHF00717517",1,2,0
"TQRMNOQVUHJKKUCDEHMHF00794200",1,1,0
"TQRMNOQVUHJKKUCDEHMHF00794200",1,2,0
"TQRMNOQTXHMKRLCDEIJAH00711041",1,2,0
"TQRMNOTPSHJNSOCDEIJAH00794201",1,1,0
"TQRMNOTPSHJNSOCDEIJAH00794201",1,2,0
"TQRMNOTPSHJNSOCDEIJAH00794201",1,3,2
"TQSMNOQVWHKOKRCDEGKDB00789329",1,1,0
"TQRMNORUXHKNKOCDEGKDB00789279",1,2,1
"TQRMNORUXHKNKOCDEGKDB00789279",1,3,0
"TQRMNORTXHKNKNCDEFMDB00787984",2,1,1
"TQRMNORXQHKOKOCDEFMDB00787953",1,1,0
"TQRMNOSRXHLOSNCDEIJAH00719399",1,1,0
"TQRMNOSRXHLOSNCDEIJAH00719399",1,2,1
"TQRMNOSRQHMOLOCDEFOCD00711723",1,2,0
